location, address
Slot0/Port0, 10.233.1.8
Slot0/Port1, 10.233.1.9
Slot0/Port2, 10.233.2.8
Slot0/Port3, 10.233.2.9
Slot0/Port4, 10.233.6.8
Slot0/Port5, 10.233.6.9
Slot0/Port6, 10.233.7.8
Slot0/Port7, 10.233.7.9
Slot1/Port0, 10.233.1.18
Slot1/Port1, 10.233.1.19
Slot1/Port2, 10.233.2.18
Slot1/Port3, 10.233.2.19
Slot1/Port4, 10.233.6.18
Slot1/Port5, 10.233.6.19
Slot1/Port6, 10.233.7.18
Slot1/Port7, 10.233.7.19
Slot2/Port0, 10.233.1.28
Slot2/Port1, 10.233.1.29
Slot2/Port2, 10.233.2.28
Slot2/Port3, 10.233.2.29
Slot2/Port4, 10.233.6.28
Slot2/Port5, 10.233.6.29
Slot2/Port6, 10.233.7.28
Slot2/Port7, 10.233.7.29
Slot3/Port0, 10.233.1.38
Slot3/Port1, 10.233.1.39
Slot3/Port2, 10.233.2.38
Slot3/Port3, 10.233.2.39
Slot3/Port4, 10.233.6.38
Slot3/Port5, 10.233.6.39
Slot3/Port6, 10.233.7.38
Slot3/Port7, 10.233.7.39
Slot6/Port0, 10.233.1.68
Slot6/Port1, 10.233.1.69
Slot6/Port2, 10.233.2.68
Slot6/Port3, 10.233.2.69
Slot6/Port4, 10.233.6.68
Slot6/Port5, 10.233.6.69
Slot6/Port6, 10.233.7.68
Slot6/Port7, 10.233.7.69
Slot7/Port0, 10.233.1.78
Slot7/Port1, 10.233.1.79
Slot7/Port2, 10.233.2.78
Slot7/Port3, 10.233.2.79
Slot7/Port4, 10.233.6.78
Slot7/Port5, 10.233.6.79
Slot7/Port6, 10.233.7.78
Slot7/Port7, 10.233.7.79
Slot8/Port0, 10.233.1.88
Slot8/Port1, 10.233.1.89
Slot8/Port2, 10.233.2.88
Slot8/Port3, 10.233.2.89
Slot8/Port4, 10.233.6.88
Slot8/Port5, 10.233.6.89
Slot8/Port6, 10.233.7.88
Slot8/Port7, 10.233.7.89
Slot9/Port0, 10.233.1.98
Slot9/Port1, 10.233.1.99
Slot9/Port2, 10.233.2.98
Slot9/Port3, 10.233.2.99
Slot9/Port4, 10.233.6.98
Slot9/Port5, 10.233.6.99
Slot9/Port6, 10.233.7.98
Slot9/Port7, 10.233.7.99
